,NAME,CLASS,Speed,TIME (min)
87,E 5TH ST,A40,15,0.14301259182344986
88,E 5TH ST,A40,15,0.18387333227968627
89,E 4TH ST,A40,15,0.2451621043129617
90,H ST,A40,15,0.27637218895532734
91,E BROADWAY,A40,15,0.12257910316917085
92,H STREET PL,A40,15,0.12565561248581175
93,EMERSON ST,A40,15,0.22047953758334107
94,H ST,A40,15,0.0829116566368637
95,H ST,A40,15,0.0829116566368637
96,P ST,A40,15,0.22109775122907768
97,P ST,A40,15,0.13818609447240157
98,P ST,A40,15,0.11054887548888578
99,P ST,A40,15,0.221097751167598
100,E 4TH ST,A40,15,0.10215022703855177
101,DEAN WAY,A40,15,0.13968815316036745
102,E BROADWAY,A31,20,0.3064462956729119
103,FARRAGUT RD,A40,15,0.24873496999483594
104,I ST,A40,15,0.24873497008362694
105,E 2ND ST,A40,15,0.08171706304702088
106,E 3RD ST,A40,15,0.14300690692939144
107,E 2ND ST,A40,15,0.14300486027418685
108,I ST,A40,15,0.19453618635768022
109,E 1ST ST,A40,15,0.06128711491944639
110,E 3RD ST,A40,15,0.12257734885502068
111,BARNARD PL,A40,15,0.04085879151482415
112,BARNARD PL,A40,15,0.11054887573480449
113,E 2ND ST,A40,15,0.12257559451576358
114,E 3RD ST,A40,15,0.06128867431615933
115,EMMET ST,A40,15,0.13818609447240157
116,E 3RD ST,A40,15,0.04085911621071566
117,EMMET ST,A40,15,0.11054887573480449
118,E 2ND ST,A40,15,0.10214632859278731
119,E 1ST ST,A40,15,0.40951409439682573
120,BERNARD PL,A40,15,0.13818609447240157
121,E 3RD ST,A40,15,0.08171823275438299
122,SCHREPEL PL,A40,15,0.19346053225809817
123,E 2ND ST,A40,15,0.020429265345815857
124,E 2ND ST,A40,15,0.10214632859278731
125,E 3RD ST,A40,15,0.06128867431615933
126,K ST,A40,15,0.19965802345438702
127,K ST,A40,15,0.04991450351355376
128,BAY STATE PL,A40,15,0.11054887561184513
129,E 1ST ST,A40,15,0.10214502925523462
130,K ST,A40,15,0.221097751167598
131,E 3RD ST,A40,15,0.32687293010363255
132,E 2ND ST,A40,15,0.4299035168488342
133,E 1ST ST,A40,15,0.4290091230799134
134,K ST,A40,15,0.27637218895532734
135,K ST,A40,15,0.19453612500854925
136,ELKINS ST,A40,15,0.4298912620471553
137,POWER HOUSE ST,A40,15,0.4494259785065239
138,SUMMER ST,A40,15,0.1376744260763612
139,SUMMER ST,A40,15,0.19433747512948288
140,DRY DOCK AVE,A40,15,0.07315096531767104
141,SUMMER ST,A40,15,0.23281498619782576
142,HARBOR ST,A40,15,0.020963811754558064
143,DRY DOCK AVE,A40,15,0.33167293167369555
144,SUMMER ST,A40,15,0.35254234729085965
145,E 3RD ST,A40,15,0.08171823275438299
146,L ST,A40,15,0.27637218895532734
147,L ST,A40,15,0.19346053225809817
148,E 3RD ST,A40,15,0.4325661301817357
149,E 2ND ST,A40,15,0.40858466538058763
150,E 1ST ST,A40,15,0.40951344613872553
151,SUMMER ST,A40,15,0.3040094078174375
152,SUMMER ST,A40,15,0.16582331335797224
153,M ST,A40,15,0.22203957856725692
154,M ST,A40,15,0.22109775122907768
155,SUMMER ST,A40,15,0.49914484904237033
156,SUMMER ST,A40,15,0.18963943590232235
157,DESIGN CENTRE PL,A40,15,0.19185395141507366
158,BLACK FALCON AVE,A40,15,0.14625795730952934
159,SUMMER ST,A40,15,0.1988485507021713
160,MAVERICK SQ,A40,15,0.02886743967256131
161,WINTHROP ST,A40,15,0.18318656744522616
162,PARIS ST,A40,15,0.15115436606893326
163,MAVERICK ST,A40,15,0.12558923178983267
164,MAVERICK ST,A40,15,0.1479299755405574
165,PARIS ST,A40,15,0.24053166178518517
166,MAVERICK SQ,A40,15,0.1124187708183319
167,MAVERICK SQ,A40,15,0.14173338255428072
168,BREMEN ST,A40,15,0.32103755969234266
169,MERIDIAN ST,A40,15,0.1124187177372198
170,MAVERICK ST,A40,15,0.06720173738952254
171,MERIDIAN ST,A40,15,0.165823313439944
172,MAVERICK ST,A40,15,0.06720182598418106
173,ELBOW ST,A40,15,0.17244618555461413
174,CHELSEA ST,A40,15,0.1263855431956482
175,HAVRE ST,A40,15,0.4714908925282627
176,DECATUR ST,A40,15,0.1479264218276231
177,DECATUR ST,A40,15,0.16523297161837813
178,LONDON ST,A40,15,0.32103266379603995
179,PARIS ST,A40,15,0.06872315827408663
180,MERIDIAN ST,A40,15,0.24873497008362694
181,PARIS ST,A40,15,0.08250672577444462
182,EMMONS ST,A40,15,0.1469671891115469
183,PARIS CT,A40,15,0.11638190118684255
184,PARIS ST,A40,15,0.10308447625839805
185,HAVRE ST,A40,15,0.040835848677441104
186,HAVRE ST,A40,15,0.058924984376017835
187,MERIDIAN ST,A40,15,0.08538871370865597
188,GOVE ST,A40,15,0.02763721893349081
189,MERIDIAN ST,A40,15,0.13968636664629144
190,STATE HWY 1A,A11,45,0.030807392437588184
191,MC CLELLAN HWY,A11,45,0.030807392437588184
192,GOVE ST,A40,15,0.18068963327543733
193,MAVERICK ST,A40,15,0.1315195048751716
194,MAVERICK ST,A40,15,0.06720218157526786
195,MAVERICK ST,A40,15,0.1652384829006391
196,CHELSEA ST,A31,20,0.10308514283768272
197,EMMONS ST,A40,15,0.1160687226721967
198,BREMEN ST,A40,15,0.4378412122103812
199,CHELSEA ST,A31,20,0.1385045065518399
200,MAVERICK ST,A40,15,0.034361975314231304
201,ORLEANS ST,A40,15,0.10308586713352681
202,PERCIVAL PL,A40,15,0.06720227057388098
203,MAVERICK ST,A40,15,0.1652392702351747
204,ORLEANS ST,A40,15,0.1846743575063607
205,GOVE ST,A40,15,0.13151836943168752
206,GOVE ST,A40,15,0.26303459395560086
207,HAVRE ST,A40,15,0.42478509277809745
208,PARIS ST,A40,15,0.3298765869111131
209,GOVE ST,A40,15,0.1650140307279937
210,CHELSEA ST,A31,20,0.22571624648344696
211,PARIS ST,A40,15,0.09839021817124925
212,GRIECO TER,A40,15,0.14792690645493056
213,PARIS PL,A40,15,0.2393346857641546
214,LIVERPOOL ST,A40,15,0.5499543361003242
215,CENTRAL SQ,A40,15,0.148247227193197
216,BORDER ST,A40,15,0.16682632167844771
217,MERIDIAN ST,A40,15,0.13968634299981084
218,MERIDIAN ST,A40,15,0.27637218895532734
219,LONDON ST,A40,15,0.3637579469818374
220,MERIDIAN ST,A40,15,0.19453491716741853
221,PORTER ST,A40,15,0.10308262186089737
222,BORDER ST,A40,15,0.4978887209635338
223,LEXINGTON ST,A40,15,0.14556174149237042
224,CYPHER ST,A40,15,0.18471213349646165
225,C ST,A40,15,0.6226158522121765
226,BULLOCK ST,A40,15,0.8073212779493412
227,D ST,A40,15,0.7940343523335645
228,E ST,A40,15,0.3561962207060313
229,CLAFLIN ST,A40,15,0.21400962867286147
230,CLAFLIN ST,A40,15,0.19885051312498273
231,BUTLER ST,A40,15,1.5199995509343318
232,DORCHESTER ST,A40,15,0.10310492951474735
233,DORCHESTER ST,A40,15,0.10310475575444587
234,DORCHESTER ST,A40,15,0.0687364073536453
235,W 1ST ST,A40,15,0.3301250619126248
236,E 1ST ST,A40,15,0.4306230989261733
237,EMERSON ST,A40,15,0.27822473510509055
238,DORCHESTER ST,A40,15,0.034368174310117516
239,E 2ND ST,A40,15,0.36772736834165964
240,DORCHESTER ST,A40,15,0.24806367039073057
241,E 3RD ST,A40,15,0.2042955813251619
242,H ST,A40,15,0.22109775122907768
243,E 1ST ST,A40,15,0.16697169715045673
244,H ST,A40,15,0.221097751167598
245,E 3RD ST,A40,15,0.16343646517826252
246,E 2ND ST,A40,15,0.15829682395576622
247,BURNHAM PL,A40,15,0.13818609447240157
248,E 3RD ST,A40,15,0.16343646517826252
249,E 2ND ST,A40,15,0.08840750549881855
250,E 1ST ST,A40,15,0.24514846018599637
251,VICKSBURG ST,A40,15,0.19346053225809817
252,E ST,A40,15,1.176863233189985
253,SUMMER ST,A40,15,0.09798262627716497
254,C ST,A40,15,0.46543727982599614
255,BULLOCK ST,A40,15,0.7254325046989768
256,VIADUCT ST,A40,15,0.32439499907968217
257,ACCESS RD,,20,0.10618208995222703
258,SUMMER ST,A40,15,0.42713978965235805
259,VIADUCT ST,A40,15,0.11351306287393881
260,FARGO ST,A40,15,0.21451953162017987
261,INMAN ST,A40,15,0.443808175483099
262,D ST,A40,15,0.10309936785320596
263,SUMMER ST,A40,15,0.4438068789052386
264,E ST,A40,15,0.04932388091155548
265,E ST,A40,15,0.11640626162715645
266,FARGO ST,A40,15,0.3314709217733414
267,E ST,A40,15,0.10309994717124144
268,ACCESS RD,,20,0.6714992440181891
269,ACCESS RD,,20,0.08471748546398437
270,ACCESS RD,,20,0.06642485223945975
271,B ST,A40,15,0.4218165324130656
272,VIADUCT ST,A40,15,0.19474965347346504
273,B ST,A40,15,0.06845074861292298
274,NORTHERN AVE,A41,15,0.2813711945695223
275,NORTHERN AVE,A41,15,0.25983234155145246
276,NORTHERN AVE,A41,15,0.1948403263290366
277,VIADUCT ST,A40,15,0.034365876714204886
278,VIADUCT ST,A40,15,0.23571016454351776
279,RAMP ST,A63,20,0.36060374329247613
280,NORTHERN AVE,A41,15,0.51360505845892
281,SUMMER ST,A41,15,0.250391254469159
282,FEDERAL ST,A41,15,0.15116112371531956
283,FEDERAL ST,A41,15,0.11241970958810994
284,FEDERAL ST,A41,15,0.05892716959129033
285,SUMMER ST,A41,15,0.04931952095007382
286,MILTON PL,A40,15,0.0672163134829364
287,FEDERAL ST,A41,15,0.11054887561184513
288,MARGINAL ST,A40,15,0.16524281315302827
289,FATHER JACOBBE RD,A40,15,0.16501779561637606
290,CHARLESTOWN AVE,A35,20,0.4638302291354446
291,CHARLESTOWN AVE,A35,20,0.12038801805395886
292,CHARLESTOWN AVE,A35,20,0.09478859032930327
293,CHARLESTOWN AVE,A35,20,0.08728594673234161
294,AUSTIN ST,A40,15,0.11784990104750125
295,AUSTIN ST,A40,15,0.228986074033546
296,I 93,A11,45,0.39625107924542946
297,AUSTIN ST,A40,15,0.18879050238600203
298,I 93,A11,45,0.09376435218427473
299,RUTHERFORD AVE,A40,15,0.2674108092124595
300,I 93,A11,45,0.0834425796448823
301,NEW RUTHERFORD AVE,A40,15,0.2637001248602903
302,I 93,A11,45,0.2301096519145247
303,NEW RUTHERFORD AVE,A01,20,0.18888021780549144
304,NEW RUTHERFORD AVE,A01,20,0.2288418462849725
305,WASHINGTON ST,A40,15,0.34849271751044086
306,AUSTIN ST,A40,15,0.052268243812725726
307,,A40,15,0.17926731129649
308,AUSTIN ST,A40,15,0.10917862089209748
309,NEW RUTHERFORD AVE,A40,15,0.2329091114012389
310,AUSTIN ST,A40,15,0.054124419212164404
311,NEW RUTHERFORD AVE,A40,15,0.10820447724128188
312,NEW RUTHERFORD AVE,A40,15,0.10097253127698179
313,WASHINGTON ST,A40,15,0.4491758269804581
314,AUSTIN ST,A01,20,0.25425731399570833
315,NEW RUTHERFORD AVE,A40,15,0.2532351647142667
316,RUTHERFORD AVE,A40,15,0.1845045305662503
317,DUNSTABLE ST,A40,15,0.07704513450007099
318,DUNSTABLE ST,A40,15,0.12175147494173179
319,W SCHOOL ST,A01,20,0.4052554543251405
320,US HWY 1,A11,45,0.1900478025581466
321,ADAMSKI MEMORIAL HWY,A11,45,0.1900478025581466
322,SUMNER ST,A40,15,0.42572318635067086
323,NEW ST,A40,15,0.39326748700942443
324,MAVERICK ST,A40,15,0.16523395575708852
325,GRADY CT,A40,15,0.10308551941650308
326,CLIPPERSHIP LN,A40,15,0.218747069520406
327,SUMNER ST,A40,15,0.17244815623196386
328,SUMNER ST,A40,15,0.06872385331547967
329,SUMNER ST,A40,15,0.11609687072132588
330,PARIS ST,A40,15,0.15115468216449635
331,HAVRE ST,A40,15,0.3436181083960675
332,MAVERICK ST,A40,15,0.18069197323512626
333,MAVERICK ST,A40,15,0.16523454641848462
334,BORDER ST,A40,15,0.15115373369597074
335,LIVERPOOL ST,A40,15,0.1511538522211396
336,COPPERSMITH WAY,A40,15,0.165233562036496
337,BORDER ST,A40,15,0.27489077795221717
338,MAVERICK ST,A40,15,0.14792868331624603
339,LONDON ST,A40,15,0.4473839954681064
340,LIVERPOOL ST,A40,15,0.2975735571890274
341,DECATUR ST,A40,15,0.15324000071139457
342,WEBSTER ST,A40,15,0.16051603424019
343,WEBSTER ST,A40,15,0.3210310758210416
344,BORDER ST,A40,15,0.5843131942199498
345,US HWY 1,A11,45,0.16407503280951966
346,MAURICE J TOBIN BRG,A11,45,0.16407503280951966
347,US HWY 1,A11,45,0.11452932438213036
348,MAURICE J TOBIN BRG,A11,45,0.11452932438213036
349,I ST,A40,15,0.025705861807092747
350,COLUMBIA RD,A40,15,0.3310997126535413
351,WILLIAM J DAY BLVD,A41,15,0.5440643379489664
352,I ST,A40,15,0.12019844108417829
353,I ST,A40,15,0.2487349700289785
354,E 8TH ST,A40,15,0.12258709418494619
355,E 7TH ST,A40,15,0.10582720493607137
356,I ST,A40,15,0.222039734062601
357,E 8TH ST,A40,15,0.14301827649153742
358,E 7TH ST,A40,15,0.14540962048897005
359,MARINE RD,A40,15,0.3891802647731886
360,BAYVIEW PL,A40,15,0.05892957962390791
361,E 7TH ST,A40,15,0.02622308088461911
362,E 8TH ST,A40,15,0.24517418832179538
363,COLUMBIA RD,A40,15,0.20281319000925363
364,DEADY LN,A40,15,0.16345283706686733
365,K ST,A40,15,0.0464826715154083
366,K ST,A40,15,0.13768908245805564
367,COLUMBIA RD,A40,15,0.2660667913399738
368,PAIGE AVE,A40,15,0.13818609447240157
369,MARINE RD,A40,15,0.12258865320616784
370,K ST,A40,15,0.13818609447240157
371,K ST,A40,15,0.22109775110611835
372,E 7TH ST,A40,15,0.3427539715101905
373,E 8TH ST,A40,15,0.12258709418494619
374,K ST,A40,15,0.222039734062601
375,MARINE RD,A40,15,0.26560874883640273
376,E 8TH ST,A40,15,0.18388064124275302
377,E 7TH ST,A40,15,0.18387830253332824
378,NORCROSS PL,A40,15,0.11242101434900438
379,BURRILL PL,A40,15,0.14301600265141595
380,I ST,A40,15,0.05527443786706575
381,I ST,A40,15,0.16582331335797224
382,E 6TH ST,A40,15,0.16344530089085646
383,I ST,A40,15,0.2487349700289785
384,I ST,A40,15,0.05527443786706575
385,MINNIE CT,A40,15,0.09865900990939673
386,WEBB PARK,A40,15,0.11054887561184513
387,E 5TH ST,A40,15,0.4513465927204322
388,E 4TH ST,A40,15,0.1856936265011189
389,I ST,A40,15,0.1399319212190285
390,I ST,A40,15,0.2790730778342192
391,E 4TH ST,A40,15,0.061699030386385745
392,I ST,A40,15,0.22109775110611835
393,E BROADWAY,A40,15,0.14300872610106752
394,E 4TH ST,A40,15,0.23024770651982351
395,EMERSON ST,A40,15,0.5984676681532258
396,E BROADWAY,A40,15,0.18386836218739888
397,LINLEY TER,A40,15,0.11054887561184513
398,FISH LN,A40,15,0.05527443786706575
399,E 6TH ST,A40,15,0.34732126454928325
400,K ST,A40,15,0.22109775122907768
401,K ST,A40,15,0.13818609447240157
402,K ST,A40,15,0.11054887561184513
403,E 5TH ST,A40,15,0.06237892017188795
404,JAY ST,A40,15,0.08382931181350474
405,K ST,A40,15,0.12188030661366789
406,E 6TH ST,A40,15,0.40954650586081043
407,BECKLER AVE,A40,15,0.24516600244003967
408,E 5TH ST,A40,15,0.40954067202907973
409,E 4TH ST,A40,15,0.1983766841099828
410,K ST,A40,15,0.07185676913648449
411,K ST,A40,15,0.27683565194625986
412,E BROADWAY,A31,20,0.13790127164054916
413,K ST,A40,15,0.13818609447240157
414,K ST,A40,15,0.08291165680080893
415,EMERSON ST,A40,15,0.41501782366409434
416,TIDE ST,A40,15,0.05892787914022827
417,FID KENNEDY AVE,A40,15,0.08170484698813363
418,ANCHOR WAY,A40,15,0.19346053225809817
419,ANCHOR WAY,A40,15,0.11785578065637664
420,B ST,A40,15,0.16573302605988124
421,BALLARD WAY,A40,15,0.2495722796200167
422,B ST,A40,15,0.30639804990801794
423,FID KENNEDY AVE,A40,15,0.08170484698813363
424,FID KENNEDY AVE,A40,15,0.14563009502010602
425,FID KENNEDY AVE,A40,15,0.04085248837689189
426,FID KENNEDY AVE,A40,15,0.3063936634554764
427,CAPSTAN WAY,A40,15,0.2495722796200167
428,B ST,A40,15,0.42895726987347244
429,FID KENNEDY AVE,A40,15,0.45022607439714074
430,DOLPHIN WAY,A40,15,0.27637218895532734
431,DOLPHIN WAY,A40,15,0.24957225298660765
432,CLYDE ST,A40,15,0.3219021886295817
433,MARGINAL ST,A40,15,0.026304677352749748
434,MARGINAL ST,A40,15,0.023007786246482736
435,MARGINAL ST,A40,15,0.14793611361268127
436,ORLEANS ST,A40,15,0.0924239583704344
437,CLYDE ST,A40,15,0.0851700686260723
438,BREMEN ST,A40,15,0.4473909966183387
439,SUMNER ST,A40,15,0.21396059689578403
440,MAVERICK SQ,A40,15,0.16586493405922115
441,SUMNER ST,A40,15,0.17245086600463663
442,WEBSTER ST,A40,15,0.03682944146849509
443,ORLEANS ST,A40,15,0.11643990104996504
444,,A40,15,0.11792473416486396
445,ORLEANS ST,A40,15,0.11766288931317957
446,SUMNER ST,A40,15,0.08250897029503429
447,BREMEN ST,A40,15,0.0687242014269107
448,RUTLAND ST,A41,15,0.4036688359418685
449,SHAWMUT AVE,A41,15,0.12813932712671738
450,W CONCORD ST,A41,15,0.10310359690548115
451,W CONCORD ST,A41,15,0.13747173338020133
452,SHAWMUT AVE,A41,15,0.08253046939253136
453,NEWLAND ST,A41,15,0.08253025231449539
454,NEWLAND ST,A41,15,0.103103307388962
455,CUMSTON ST,A40,15,0.11641209971912476
456,CUMSTON PL,A40,15,0.13155886178754264
457,SHAWMUT AVE,A41,15,0.10310348115170653
458,RUTLAND ST,A41,15,0.103103307388962
459,W HAVEN ST,A41,15,0.42040956636474236
460,NEWLAND ST,A41,15,0.09557903743156305
461,W NEWTON ST,A41,15,0.40366772451091026
462,WORCESTER SQ,A40,15,0.34848114026930976
463,WORCESTER SQ,A01,20,0.2573618038349207
464,WASHINGTON ST,A31,20,0.13556324927222146
465,E CONCORD ST,A41,15,0.30103062973288314
466,E CONCORD ST,A41,15,0.25325512499156677
467,GILDAY ST,A41,15,0.36387017256563714
468,E NEWTON ST,A41,15,0.2668924792325834
469,CUMSTON ST,A40,15,0.049327110121310684
470,RUTLAND ST,A41,15,0.06722981989054479
471,RUTLAND ST,A41,15,0.1605388572036421
472,SHAWMUT AVE,A41,15,0.07786753170791648
473,HAVEN ST,A40,15,0.28790585163521587
474,RUTLAND ST,A41,15,0.10310382880815364
475,NEWLAND ST,A41,15,0.08618655643262013
476,SHAWMUT AVE,A41,15,0.10375559931561375
477,W NEWTON ST,A41,15,0.10310307561695574
478,SHAWMUT AVE,A41,15,0.16505949121164343
479,NEWLAND ST,A41,15,0.14797906977365746
480,REV RICHARD A BURKE ST,A40,15,0.23001662597566383
481,PATTERSON WAY,A40,15,0.1718457975635359
482,MERCER ST,A40,15,0.09243455693924119
483,COLUMBIA RD,A40,15,0.45288180832816016
484,MERCER ST,A40,15,0.15052314134188205
485,REV RICHARD A BURKE ST,A40,15,0.1505227002924809
486,COLUMBIA RD,A40,15,0.2670442069370824
487,MERCER ST,A40,15,0.1505227002924809
488,E 9TH ST,A40,15,0.3790591838565845
489,E 8TH ST,A40,15,0.1315670592276284
490,CARMODY CT,A40,15,0.29763293345642416
491,MERCER ST,A40,15,0.17184666663067635
492,E 8TH ST,A40,15,0.24760660612734234
493,E 8TH ST,A40,15,0.14799311593343054
494,MERCER ST,A40,15,0.38692106447481217
495,W 9TH ST,A40,15,0.13156617639052748
496,DORCHESTER ST,A40,15,0.04933044685953639
497,W 9TH ST,A40,15,0.13156655483856777
498,W 8TH ST,A40,15,0.09865944046182576
499,W 8TH ST,A40,15,0.11641656931587605
500,LORING ST,A40,15,0.30103768462980984
501,GRIMES ST,A40,15,0.30103812551022513
502,DORCHESTER ST,A40,15,0.1374762132833566
503,W 8TH ST,A40,15,0.1847218344640441
504,E 8TH ST,A40,15,0.19886882893482638
505,F ST,A40,15,0.3218837594343267
506,E ST,A40,15,0.16506643909670918
507,W 7TH ST,A40,15,0.1988650678627129
508,W 6TH ST,A40,15,0.4316589041790723
509,E ST,A40,15,0.10310562455303292
510,E ST,A40,15,0.11641465382878444
511,W 7TH ST,A40,15,0.09865857935459675
512,TUDOR ST,A40,15,0.31229824295897163
513,W 7TH ST,A40,15,0.0986587947011206
514,LILLY ST,A40,15,0.11641556598054649
515,E ST,A40,15,0.10310527716631179
516,W 6TH ST,A40,15,0.39468944929920363
517,E ST,A40,15,0.1315620148367225
518,TELEGRAPH ST,A40,15,0.24516834127544715
519,DORCHESTER ST,A40,15,0.3453101131874547
520,KNOWLTON ST,A40,15,0.22109775122907768
521,W 7TH ST,A40,15,0.28136615664114667
522,TUDOR ST,A40,15,0.31230130305419085
523,TELEGRAPH ST,A40,15,0.18387625601805557
524,TELEGRAPH ST,A40,15,0.16344556086515039
525,DORCHESTER ST,A40,15,0.11614788239633946
526,DORCHESTER ST,A40,15,0.0493296932266926
527,MERCER ST,A40,15,0.27637218895532734
528,DORCHESTER ST,A40,15,0.0825339432222522
529,F ST,A40,15,0.08253365385182325
530,TUDOR ST,A40,15,0.10310603020959279
531,F ST,A40,15,0.1374746684511032
532,F ST,A40,15,0.1031057984437053
533,BOWEN ST,A40,15,0.3946883143045383
534,W 5TH ST,A40,15,0.394687179272168
535,GOLD ST,A40,15,0.41266139351656084
536,W 6TH ST,A40,15,0.345577016836357
537,BOWEN ST,A40,15,0.37904785932342144
538,F ST,A40,15,0.13156314969689306
539,F ST,A40,15,0.09243294873155126
540,F ST,A40,15,0.11641438013515762
541,WILLIAM J DAY BLVD,A41,15,1.5177611060918763
542,WILLIAM J DY BLVD RA,A40,15,0.4375544378123086
543,COLUMBIA RD,A40,15,0.16345283706686733
544,F ST,A40,15,0.11641410655765032
545,W 4TH ST,A40,15,0.4771291580824254
546,DORCHESTER ST,A40,15,0.06873737298434328
547,DORCHESTER ST,A40,15,0.1315637803542121
548,E 4TH ST,A40,15,0.06873725710146648
549,DORCHESTER ST,A40,15,0.13446594785482682
550,SILVER ST,A40,15,0.5262503290337924
551,W BROADWAY,A40,15,0.608684134578756
552,THOMAS PARK,A40,15,0.10215233854584503
553,ATLANTIC ST,A40,15,0.24957260134483464
554,THOMAS PARK,A40,15,0.14565912223247482
555,PACIFIC ST,A40,15,0.22484173331729174
556,THOMAS PARK,A40,15,0.40341276827431366
557,THOMAS PARK,A40,15,0.10582485321211522
558,LINDEN ST,A40,15,0.24957260134483464
559,THOMAS PARK,A40,15,0.1807594549257779
560,E 4TH ST,A40,15,0.11641556598054649
561,E 4TH ST,A40,15,0.12258105218053021
562,DORCHESTER ST,A40,15,0.18326678067762622
563,E 4TH ST,A40,15,0.12258105218053021
564,SILVER ST,A40,15,0.4123213599709901
565,E 4TH ST,A40,15,0.16344140289016296
566,DORCHESTER ST,A40,15,0.020429850860671252
567,DORCHESTER ST,A40,15,0.10310545092573596
568,E BROADWAY,A40,15,0.22472835560374244
569,DORCHESTER ST,A40,15,0.13747366426127827
570,G ST,A40,15,0.02763721893349081
571,G ST,A40,15,0.12470687199110136
572,G ST,A40,15,0.15241950349820543
573,E 8TH ST,A40,15,0.1021560741621333
574,G ST,A40,15,0.0829116566368637
575,G ST,A40,15,0.13818609447240157
576,WARD ST,A40,15,0.18326654889506144
577,VANCOUVER ST,A40,15,0.4535034052315231
578,MC GREEVEY WAY,A40,15,0.11614688235751713
579,ALTON CT,A40,15,0.18486638577029735
580,HUBAN CT,A40,15,0.2062121184308715
